No.;Judul Berita
1;Video Dokter Pingsan Saat Operasi karena Virus Corona
2;Vaksin dan Tes Swab Membatalkan Puasa
3;Vaksin COVID-19 Mengandung Luciferase Dan Menjadi Alat Pelacak
4;3 Orang Tionghoa Terpapar Varian Baru dari India Yang Tidak Dapat Dideteksi dengan Alat Test COVID-19 Biasa
5;Vaksin Pfizer-BioNTech Dapat Menyebabkan Radang Otak
6;Perusahaan Farmasi Moderna yang Menciptakan Virus Corona
7;Orang Berusia 25-44 Tahun di Amerika Serikat Alami 84% Peningkatan Kematian karena Vaksin COVID-19
8;COVID-19 Berasal dari Laboratorium Ukraina
9;Vaksin Pfizer-BioNTech Menyebabkan Virus Ensefalitis
10;Kulit Bayi Baru Lahir Melepuh Karena Ibu Vaksin COVID-19 Saat Hamil
11;Tiga Orang China Yang Terpapar Varian Baru dari India Tidak Dapat Dideteksi Dengan Alat Test Covid-19 Biasa
12;Vaksin COVID-19 Novavax Mengandung DNA Laba-laba
13;Arab Saudi Tidak Mewajibkan Masker untuk Jemaah Masjidil Haram dan Masjid Nabawi serta akan Menyediakan Asuransi Kesehatan
14;Vaksin COVID-19 Menyebabkan Kanker Kambuh
15;Video Pesawat Menyemprotkan Zat Yang Dapat Membuat Orang Sakit Tenggorokan dan Demam
16;“Jadi Covid adalah tidak natural tapi rekayasa si laboratorium Amerika Serikat di Ukraina untuk senjata biologi”
17;Vaksin Booster Sebabkan HIV
18;Surat Edaran Satgas No. 9/2022 Menyatakan COVID-19 Dicabut
19;Covid 19 Meningkat hanya Saat Ibadah Umat Islam
20;Bantuan Sosial Rp600.000 Bagi Pemilik E-KTP Yang Belum Mendapatkan Bantuan
21;Alat Tes Usap COVID-19 Mengandung Lithium
22;Link Program Kuota Belajar Kemendikbud
23;Jokowi dan Sejumlah Menteri Berkumpul Tanpa Menggunakan Masker
24;Ilmuwan Jerman Mengumumkan bahwa Berkumur dengan Air Garam dapat Menghilangkan Virus Covid-19
25;Vaksin Covid 19 Tidak Berguna, karena Bermutasi menjadi Ribuan Varian Covid Baru
26;Anjuran Ahli Virologi Agar Penerima Vaksin Dosis Ketiga Tes HIV
27;Vaksin Mengandung MSG, Formalin, Aluminium, dan Bahan Berbahaya Lain
28;Lowongan Pekerjaan Staff Vaksinasi Booster Dinas Kesehatan Provinsi Jawa Barat
29;Melakukan Tes PCR Sama Dengan Mendapatkan Vaksinasi
30;Antigen Test Kits Tidak Dapat Diandalkan untuk Mendeteksi Covid-19
31;Deteksi COVID-19 dengan Cara Menahan Napas selama 10 Detik
32;Pembelian Minyak Goreng Gunakan Kartu Keluarga (KK) dan Bukti Vaksin
33;Kode 5G setelah Booster Vaksin COVID-19
34;Foto Protes Anti-Vaksin di Canberra, Australia Tahun 2022
35;Menggunakan Obat Bius setelah Vaksin Covid 19 sebabkan Kematian
